,parameters,mean,50q
278,v_subj(Stressed).1203,0.2358238786588298,0.22674260235576474
279,v_subj(Stressed).1204,0.45661919289899455,0.44934162416238377
280,v_subj(Stressed).1205,0.7122406084636702,0.7099450575305468
281,v_subj(Stressed).1206,0.6230793726274603,0.6182429426887739
282,v_subj(Stressed).1207,0.4608190949750186,0.4623907478487399
283,v_subj(Stressed).1208,0.35568938929194505,0.35283869432037585
284,v_subj(Stressed).1214,0.5041701575731098,0.4945780314658228
285,v_subj(Stressed).1217,0.1593598234378629,0.15356955210128276
286,v_subj(Stressed).1218,0.5335345426660485,0.5293268574134025
287,v_subj(Stressed).1219,0.5814220351069824,0.5778759870354964
288,v_subj(Stressed).1220,0.6354221312479279,0.6305003650114194
289,v_subj(Stressed).1222,0.7128433847295221,0.7089709280577579
290,v_subj(Stressed).1223,0.4778160409610311,0.4719114137741277
291,v_subj(Stressed).1224,0.40150248586437026,0.39310170995535465
292,v_subj(Stressed).1225,0.24365726504028495,0.2348764148031529
293,v_subj(Stressed).1226,0.6295242715159239,0.6259223851234942
294,v_subj(Stressed).1227,0.6029605859676268,0.5992984391269278
295,v_subj(Stressed).1228,0.4431827468714455,0.43690346155909565
296,v_subj(Stressed).1229,0.41693348276805486,0.4103729177466646
297,v_subj(Stressed).1230,0.41785356358188563,0.41142370848149346
298,v_subj(Stressed).1231,0.6792351282818101,0.66863599623899
299,v_subj(Stressed).1232,0.5440388933508324,0.5369726353143092
300,v_subj(Stressed).1237,0.5489166800566313,0.5432404452440699
301,v_subj(Stressed).1243,0.4223658293010149,0.4108612890378959
302,v_subj(Stressed).1247,-0.13470065259636704,-0.13475430392684817
303,v_subj(Stressed).1249,0.6945573805711729,0.6904882113317716
304,alpha(Neutral),0.9487021612417431,0.9311662938256638
305,alpha(Stressed),0.946801989992481,0.9381632102753785
306,alpha_std,0.6864004699054755,0.6652323834069157
307,alpha_subj(Neutral).1001,0.9498210699551883,0.9340142946244008
308,alpha_subj(Neutral).1002,0.9493534222984775,0.9346063570601226
309,alpha_subj(Neutral).1003,0.9497258456913651,0.9342185170998919
310,alpha_subj(Neutral).1004,0.9500747471327903,0.934561750454255
311,alpha_subj(Neutral).1005,0.949338506347758,0.9336510696310296
312,alpha_subj(Neutral).1006,0.9478532096376944,0.9310192850425505
313,alpha_subj(Neutral).1007,0.9473303425282593,0.9318093513228682
314,alpha_subj(Neutral).1009,0.9486697144644501,0.9351848340748576
315,alpha_subj(Neutral).1011,0.9488464623526303,0.9336967078762924
316,alpha_subj(Neutral).1012,0.9492900469791222,0.9326650724568426
317,alpha_subj(Neutral).1013,0.9505968585683245,0.9362489666463795
318,alpha_subj(Neutral).1015,0.9495543052843609,0.9357859636125136
319,alpha_subj(Neutral).1017,0.9478252289266683,0.9303917212109936
320,alpha_subj(Neutral).1018,0.9478249770107325,0.9320393057387967
321,alpha_subj(Neutral).1019,0.9486530005183272,0.9338597979709805
322,alpha_subj(Neutral).1020,0.9500595200981962,0.9352933741643916
323,alpha_subj(Neutral).1021,0.9481408143997265,0.9325411010570047
324,alpha_subj(Neutral).1022,0.9494577452271279,0.9361558344090933
325,alpha_subj(Neutral).1023,0.9487348408903774,0.931350794496268
326,alpha_subj(Neutral).1024,0.948882488406838,0.9327373990997704
327,alpha_subj(Neutral).1025,0.9488446306222421,0.9360005091973123
328,alpha_subj(Neutral).1026,0.9492836087521819,0.9353412833989989
329,alpha_subj(Neutral).1027,0.9485361552575992,0.9344886083433416
330,alpha_subj(Neutral).1028,0.9487462484589283,0.9330027036947082
331,alpha_subj(Neutral).1030,0.9487594930319795,0.9347813809536014
332,alpha_subj(Neutral).1031,0.9480591196653232,0.9329162583208066
333,alpha_subj(Neutral).1032,0.9513903253714052,0.936797701458359
334,alpha_subj(Neutral).1033,0.9475074668117807,0.9341090695251183
335,alpha_subj(Neutral).1034,0.9482945934892614,0.9343119190379727
336,alpha_subj(Neutral).1035,0.9491106515030291,0.9349465991273038
337,alpha_subj(Neutral).1036,0.9471987454416442,0.9338451821847736
338,alpha_subj(Neutral).1038,0.9499964843782356,0.9335647125645241
339,alpha_subj(Neutral).1040,0.9495203809797919,0.9346643302285225
340,alpha_subj(Neutral).1042,0.9486142768091738,0.9337416837246251
341,alpha_subj(Neutral).1043,0.9482156159853934,0.9328005612238011
342,alpha_subj(Neutral).1044,0.9476792210927116,0.9326399915312995
343,alpha_subj(Neutral).1047,0.9493047063226291,0.9339607511712671
344,alpha_subj(Neutral).1048,0.9482631188265712,0.93218640989348
345,alpha_subj(Neutral).1050,0.9480163656866416,0.9343452558074075
346,alpha_subj(Neutral).1051,0.948447350977243,0.9308819821952418
347,alpha_subj(Neutral).1052,0.9491420466059288,0.9347744027556609
348,alpha_subj(Neutral).1053,0.9495968405105231,0.9354561556505687
349,alpha_subj(Neutral).1054,0.9480084530828241,0.9339021805305155
350,alpha_subj(Neutral).1056,0.9474314623540535,0.9347074700656551
351,alpha_subj(Neutral).1057,0.947131313775608,0.932781216584177
352,alpha_subj(Neutral).1058,0.9488029312913943,0.9350430760732255
353,alpha_subj(Neutral).1060,0.9485279257922649,0.9328900784900688
354,alpha_subj(Neutral).1061,0.9486884906992695,0.9354264211497662
355,alpha_subj(Neutral).1063,0.9492941385558088,0.9354669386232205
356,alpha_subj(Neutral).1065,0.9494050844587493,0.9358921918459991
357,alpha_subj(Neutral).1066,0.9502355940663938,0.9348052810970193
358,alpha_subj(Neutral).1067,0.9479444140571611,0.9327516397352626
359,alpha_subj(Neutral).1069,0.951627817912238,0.9370704414920287
360,alpha_subj(Neutral).1070,0.9486693951167502,0.9340376801843164
361,alpha_subj(Neutral).1071,0.9497987829893828,0.9351872184494269
362,alpha_subj(Neutral).1072,0.9500598779697191,0.9334036020752585
363,alpha_subj(Neutral).1073,0.9477086411752538,0.9341869280960547
364,alpha_subj(Neutral).1074,0.9480031171447361,0.9338961809657431
